Unit_Number,Lease_or_Own,Status,Utilimarc_Class,Utilimarc_Category,Company_Code_Detail,Class_Code,Description,Unit_Make,Unit_Model,Unit_Year,Age,Unit_In_Service_Date,Unit_Disposal_Date,Unit_GVWR, Purchase_Price_Without_Tax ,Purchase_Price_With_Tax,Depreciated_Value,Lease_Cost,Interest_Cost,Depreciation_Cost,License_Cost,Mechanic_Labor_Cost,Vendor_Cost,Parts_Cost,Fuel_Cost,Other,Overhead_Cost,Total_Cost,Mechanic_Labor_Hours,Annual_Mileage,MRH,Fuel_Gallons,Fuel_Type,Drive_Type,Inservice_Over_Year,Take_home_vehicle,Total_Demand_Repair_Workorders,Total_Preventive_Maintenance_Workorders,Life to date mileage
28648,2,1,49,POE,614,70100,CONSTRUCTION FORKLIFT,TOYOTA LIFT,7FGKU40,2008,11,3/4/2008,,9000,33510,33510,15079.5,0,482.54,1067.85,260.9,138.46,1386.77,95.13,1116.27,323.9,842.94,5714.76,90,#N/A,19.32615327,436.1,,,1,0,4,0,0
28646,2,1,49,POE,614,70100,CONSTRUCTION FORKLIFT,TOYOTA LIFT,7FDKU40,2008,11,3/10/2008,,9000,32528,32528,14637.6,0,468.4,1036.56,260.9,0,0,0,1008.57,323.9,842.94,3941.27,0,0,19.32615327,375.3,,,1,0,0,0,1755
29654,2,1,49,POE,615,70100,CONSTRUCTION FORKLIFT,TOYOTA LIFT,7FGKU40,2009,10,3/27/2009,,9000,30959,30959,15479.5,0,495.34,986.56,260.9,0,0,0,845.62,323.9,842.94,3755.26,0,0,19.32615327,345,,,1,0,0,0,0
28647,2,1,49,POE,615,70100,CONSTRUCTION FORKLIFT,TOYOTA LIFT,7FDKU40,2008,11,3/4/2008,,9000,34145,34145,15365.25,0,491.69,1088.09,260.9,92.31,0,0,589.69,323.9,842.94,3689.51,60,0,19.32615327,219.1,,,1,0,1,0,1
29651,2,1,49,POE,632,70107,CONSTRUCTION FORKLIFT,TOYOTA LIFT,7FGKU40,2009,10,3/20/2009,,9000,32190,32190,16095,0,515.04,1025.79,260.9,0,668.52,0,0,323.9,842.94,3637.08,0,0,19.32615327,0,,,1,0,1,0,0
12674,2,1,49,POE,206,70107,CONSTRUCTION FORKLIFT,TOYOTA LIFT,7FGKU40,2006,13,9/28/2012,,9000,16141,16141,5649.35,0,180.78,514.36,260.9,0,0,0,0,323.9,842.94,2122.87,0,0,19.32615327,0,,,1,0,0,0,0
20204,2,1,8,Vehicle,312,61600,PICKUP 4X2 REG CAB,GM/Chevey,2500HD,2000,19,5/31/2000,,8600,18913.42,18913.42,0,0,0,0,249.31,1199.98,0,268.88,1895.12,324.86,845.44,4783.6,780,7040,19.38364667,757.48,,2,1,0,12,3,182443
98233,2,1,8,Vehicle,216,61600,PICKUP 4X2 REG CAB,GM/Chevey,2500,1998,21,6/11/1998,,8600,0,0,0,0,0,0,249.31,969.22,0,96.75,852.19,324.86,845.44,3337.77,630,3810,19.38364667,320.703,,2,1,0,6,4,142839
23371,2,1,8,Vehicle,305,61600,PICKUP 4X2 REG CAB,GM/Chevey,2500,2003,16,4/30/2003,,8600,20553,20553,0,0,0,0,249.31,692.3,0,19.48,585.95,324.86,845.44,2717.34,450,2455,19.38364667,233.1,,2,1,0,3,2,67873
20202,2,1,8,Vehicle,73,61600,PICKUP 4X2 REG CAB,GM/Chevey,2500HD,#N/A,19,4/11/2000,,8600,19183.17,19183.17,0,0,0,0,249.31,1246.13,0,283.5,439.89,324.86,845.44,3389.14,810,2190,19.38364667,197.7,,2,1,0,2,0,56729
21270,2,2,8,Vehicle,361,61600,PICKUP 4X4 EXT CAB,GM/Chevey,2500HD,2001,18,4/9/2001,11/2/2018,8600,26265,26265,0,0,0,0,249.31,1476.9,437.98,116.61,1035.2,0,0,3315.99,960,6700,19.38364667,449.59,,4,0,0,14,3,180060
99297,2,1,8,Vehicle,206,61600,PICKUP 4X4 EXT CAB,GM/Chevey,2500HD,1999,20,8/3/1999,,8600,0,0,0,0,0,0,249.31,415.38,0,0,625.1,324.86,845.44,2460.09,270,2751,19.38364667,252.83,,4,1,0,2,1,177572
